name,price,rating,reviews,availability,image_url
"Amazon Fire Max 11 tablet (newest model) vivid 11” display, all-in-one for streaming, reading, and gaming, 14-hour battery life, optional stylus and keyboard, 64 GB, Gray",N/A,4.4 out of 5 stars,"13,232",Check Product Page,https://m.media-amazon.com/images/I/71wk6xXIzPL._AC_UY218_.jpg
"14"" Laptop Windows 11 Pro - Intel N5095 Quad-Core, 8GB RAM 128GB SSD, WiFi 5/Bluetooth 5.0, Webcam Privacy Cover, Preloaded Office 2024 - Ultra-Portable",N/A,4.0 out of 5 stars,2,Check Product Page,https://m.media-amazon.com/images/I/71OxBbgNH4L._AC_UY218_.jpg
"Acer Aspire 3 A315-24P-R7VH Slim Laptop | 15.6"" Full HD IPS Display | AMD Ryzen 3 7320U Quad-Core Processor | AMD Radeon Graphics | 8GB LPDDR5 | 128GB NVMe SSD | Wi-Fi 6 | Windows 11 Home in S Mode",299.,4.2 out of 5 stars,Products highlighted as 'Overall Pick' are:,Check Product Page,https://m.media-amazon.com/images/I/61gKkYQn6lL._AC_UY218_.jpg
"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch Micro-edge HD Display, Windows 11 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0040nr, Snowflake White)",N/A,4.1 out of 5 stars,"3,265",Check Product Page,https://m.media-amazon.com/images/I/815uX7wkOZS._AC_UY218_.jpg
"Apple 2025 MacBook Air 13-inch Laptop with M4 chip: Built for Apple Intelligence, 13.6-inch Liquid Retina Display, 16GB Unified Memory, 256GB SSD Storage, 12MP Center Stage Camera, Touch ID; Midnight",N/A,4.8 out of 5 stars,789,Check Product Page,https://m.media-amazon.com/images/I/71cWZUr9SVL._AC_UY218_.jpg
"SGIN 15.6 Inch Laptop Computer, Windows 11 Laptop, 4GB DDR4 128GB SSD, Celeron N4000 Processor, 180° Open Angle, HDMI, USB 3.2, 7000mAh, BT5.0, Type-C, for Business Student",N/A,4.5 out of 5 stars,44,Check Product Page,https://m.media-amazon.com/images/I/7167tnZ4ykL._AC_UY218_.jpg
"Laptop 15.6 inch in-tel Core i7-6600U Gaming Laptop, Win 11 Pro Laptop Computer 32GB RAM 1TB SSD, FHD 1080P Display, Backlit Keyboard, Fingerprint,Wi-Fi,HDMI, Laptops for Business,Student",N/A,1.0 out of 5 stars,1,Check Product Page,https://m.media-amazon.com/images/I/71sf0Dt+m9L._AC_UY218_.jpg
"15.6 Inch Laptop with Office 365, 4GB RAM, 128GB Storage Expandable 1TB, 5205U Processor, HD Display, Windows 11 Laptops Computer, Wi-Fi 5, BT4.2, Numpad, Type-C, for Business and Students.",N/A,4.4 out of 5 stars,164,Check Product Page,https://m.media-amazon.com/images/I/71vwx59yoVL._AC_UY218_.jpg
"2025 Laptop, Laptop Computer with Intel Twin Lake N150 Processor(Up to 3.6GHz), 16GB DDR4 512GB SSD Windows 11 Laptop, 15.6"" IPS 1080P, USB3.2, Long Battery Life",N/A,5.0 out of 5 stars,15,Check Product Page,https://m.media-amazon.com/images/I/71a8eNpIHTL._AC_UY218_.jpg
"Naclud 15.6 Inch Laptop Computer, Windows 11 Laptop, 4GB DDR4 128GB SSD, Celeron N4000 Processor, 180° Open Angle, HDMI, USB 3.2, 7000mAh, BT5.0, Type-C, for Business Student",N/A,4.4 out of 5 stars,39,Check Product Page,https://m.media-amazon.com/images/I/71QlMYXz4DL._AC_UY218_.jpg
"ACEMAGIC 16.0-inch Gaming Laptop, 2025 16GB DDR4 512GB SSD Windows 11 Laptop, Laptop Computer with Intel 12th Quad-Core Processor(Up to 3.6GHz), 1920P FHD Display, Metal Shell, WiFi 5, USB3.2, Type_C",N/A,4.8 out of 5 stars,17,Check Product Page,https://m.media-amazon.com/images/I/71Ls2+M7TSL._AC_UY218_.jpg
"HP Flagship 14"" HD Laptop with 1 Year Office 365 | 16GB RAM | 1.28TB Storage(128GB EMMC & 160GB Docking Station Set & 1TB Cloud Storage) | Intel 4-Core Processor | Webcam | Wi-Fi | Windows 11 | Black",N/A,4.2 out of 5 stars,84,Check Product Page,https://m.media-amazon.com/images/I/81DldwOS2JL._AC_UY218_.jpg
